,index,IFFO1,PENK,PI3,ZIC1,SLC4A4,group
37,37,0.007225193767559691,0.529797599936896,0.14452781817838,0.306631818364711,0.324056779473209,1
38,38,0.009858763978684,0.410177746852644,0.106630281461553,0.469846807322259,0.202112487115397,1
39,39,0.00858401663855537,0.563946606395527,0.512548117175063,0.25757617145313105,0.527716402795392,2
40,40,0.199899479809031,0.125871136581623,0.663271542176371,0.14546980544658406,0.5,2
41,41,0.5443381505765721,0.25301403271626,0.558250093325833,0.184096755313221,0.564854114957214,1
42,42,0.0142560123915752,0.511547128361677,0.125975558962104,0.117067813420043,0.250564433413947,1
43,43,0.236906284874156,0.39106355567194895,0.41082509930101,0.344377408152571,0.8549998150107678,1
44,44,0.36757596922625496,0.11801983687239,0.671711456206181,0.199288137019424,0.556378313159927,1
45,45,0.007535464562004659,0.259089177768888,0.286198601299745,0.201215775171877,0.335787354044531,1
46,46,0.500662199519644,0.0850974600889739,0.591173765409736,0.18617750875511,0.693044583253411,2
47,47,0.4562181610510971,0.1406820829761,0.665308998976523,0.19721568524977104,0.605988751446457,2
48,48,0.439245882146858,0.0800679492497711,0.683930203266815,0.110719597499621,0.6860332237211589,2
49,49,0.00760297320311513,0.532221104389649,0.168309648972229,0.30790871591769103,0.21829252082278505,1
50,50,0.295288328224313,0.0835930530399851,0.710434689137267,0.15773776246829502,0.472610566661137,2
51,51,0.0105960003206807,0.7084909918961221,0.0918785423425779,0.803543887406557,0.18055856491320305,2
52,52,0.013102879935073001,0.35625414474293,0.3326283796433189,0.13964968482936,0.39889977752533,1
53,53,0.610177418824852,0.0590127702973847,0.620756806303394,0.134951756522466,0.8654200497626899,1
54,54,0.35818036638690004,0.0809258122354649,0.6081780827990889,0.16104346577476902,0.5467379457572079,1
55,55,0.4696620132842871,0.319881620570542,0.5688856528354039,0.190031160381282,0.550166692270486,2
56,56,0.340766753472047,0.0542952041573532,0.663876660149043,0.16475238857593202,0.5392851771189211,1
57,57,0.0616057032657444,0.18245989112514105,0.515961906348023,0.36714297175373706,0.323222177177454,1
58,58,0.373903653470341,0.0962929003231117,0.677164054058772,0.14958989393149,0.51179071613037,1
59,59,0.170374804088026,0.0467211846388855,0.720112244072669,0.146865079364778,0.5626163084499489,2
60,60,0.246569654005368,0.0932476609400256,0.6806976739255899,0.128026111345535,0.4786784426723379,1
61,61,0.56938908724413,0.168014676287441,0.555174698968327,0.23761387531564604,0.668009179200805,1
62,62,0.609431800822635,0.0542550388476511,0.659661264452853,0.137553620642158,0.766545203943762,1
63,63,0.40925034340293,0.103370253769703,0.632121732128587,0.142769279724838,0.573104844100391,2
64,64,0.0164702897953649,0.48382965126518,0.33575455399282594,0.4590311154875421,0.29693693210905897,2
65,65,0.337105804492326,0.144834099680677,0.532450294845814,0.164120766211594,0.551074191610753,2
66,66,0.42288615555489206,0.150549591497574,0.559224148811756,0.155860738564559,0.558851554391709,1
67,67,0.528199514592335,0.0690321490930667,0.6684719730509301,0.148467798242032,0.628345093307589,1
68,68,0.00835585234170612,0.6488361357073449,0.21085022890154606,0.162082062810597,0.297414819284885,2
69,69,0.5398209359330471,0.0813519845169493,0.7121326728242672,0.15987153213468802,0.7437706067218679,2
70,70,0.0124758061667942,0.5807845286765211,0.298547725933658,0.2981032333808269,0.226721168944194,1
71,71,0.318250254742255,0.0656537627874548,0.6315586079604479,0.143956367038379,0.546898304336581,1
72,72,0.00855980040697497,0.557605827844098,0.111994241007664,0.322660896778124,0.31015843356287603,1
73,73,0.4768214185419729,0.121284978378488,0.608413044525805,0.20530940811423495,0.637310795872411,2
74,74,0.310902978529028,0.0591633069180866,0.33642771185669,0.0616484221036027,0.875786530280641,1
75,75,0.38687617463869,0.096933260931231,0.543619293369644,0.188357694750055,0.6041152206663871,1
76,76,0.37020422026461997,0.0619504319383801,0.6715944567506291,0.184975342485304,0.6493958976112161,1
77,77,0.0087953266967282,0.44321930952329,0.200761092904743,0.33016920551888,0.270984231914409,1
78,78,0.12678327905682002,0.265429266998836,0.530877023113849,0.080040726384355,0.242708303180907,1
79,79,0.400752966125228,0.0605036237030808,0.636385516823997,0.164366384671227,0.6468624190045931,2
80,80,0.506774230644814,0.095828981201894,0.7014051096986461,0.185733750088739,0.622547613813947,1
81,81,0.5053537277086989,0.120551056730226,0.652099085534977,0.139139823890818,0.605427506872668,1
82,82,0.442627891865939,0.140767036441187,0.511450070085588,0.19192580535075696,0.5637813321443411,1
83,83,0.52269255668419,0.107438033310972,0.6510005175763559,0.122383672986738,0.561340068606048,1
84,84,0.428540146524793,0.0726733376608952,0.6370841444034,0.141036038822662,0.509025243511239,1
85,85,0.481850763099406,0.0847477618254622,0.6078717272681999,0.176420855826145,0.6689339103570461,2
86,86,0.6128661292942579,0.0832953711426816,0.7404286128734959,0.166363373946157,0.8929920179157821,2
87,87,0.259251146239465,0.0781351434781811,0.660845387408004,0.156151947151904,0.5918174823730731,1
88,88,0.583972802465463,0.111121366882991,0.7098405529186659,0.207084684185746,0.681491004614631,1
89,89,0.009665147146553591,0.457962989580158,0.17272598933355598,0.353717538155187,0.39370947383352295,2
90,90,0.00842370983453804,0.271516337983566,0.27766970609766,0.112632501732744,0.305972954958532,1
91,91,0.380732957264641,0.0848361110366322,0.599394921815558,0.157124610294104,0.563758021019409,1
92,92,0.5759172332380389,0.0409138274263057,0.617351388362416,0.15076871003145995,0.7441701016905029,2
93,93,0.506846443110916,0.183058101218468,0.572199904596433,0.205663846320226,0.6936068597820569,1
94,94,0.418404942146469,0.0855348169352907,0.619825837218948,0.170899465517676,0.46121416862842,1
95,95,0.306306455209448,0.0752844747615781,0.6599120698151589,0.11883847137184,0.5047959600241161,2
96,96,0.0071741227527959296,0.488107788349245,0.208528361153481,0.243182775526595,0.361191792981184,2
97,97,0.222512140176927,0.0837544199144065,0.658441743947251,0.11187746637982303,0.637460592274629,1
98,98,0.279565268852815,0.0703141997166965,0.695657099406705,0.130229265442111,0.540754192797089,1
99,99,0.349928954440822,0.200761158737872,0.5773076757904929,0.194099968260135,0.5030347127584489,1
100,100,0.47310746358587197,0.0682916430289122,0.7329501646182571,0.131017753930635,0.620549225085554,2
101,101,0.257464976403163,0.151299004331421,0.651659464294909,0.146434247619155,0.519502050559439,1
102,102,0.0389093390025359,0.6981034472170811,0.119648253762687,0.547714994769433,0.163335344747516,1
103,103,0.00767897106640648,0.5503778545191711,0.157630799990773,0.43970878498364097,0.270222973977843,1
104,104,0.34252558277318396,0.0501340294241375,0.628826799811648,0.113087940073574,0.546007254063211,1
105,105,0.348650734362635,0.0862509024865054,0.630421973309272,0.19004562715190895,0.499408014984136,1
106,106,0.11929370391667099,0.0957194926528779,0.6093000080653559,0.14434385887239098,0.545691369269105,2
107,107,0.43681299145279995,0.0971534431159997,0.654839455227504,0.120425803363551,0.692102164386072,1
108,108,0.400025092406974,0.145120381530409,0.730042269275182,0.19543209852004606,0.533348664630887,1
109,109,0.35838509991960493,0.0838404547478764,0.628723769475696,0.180159653559728,0.488641670270094,2
110,110,0.346232549334216,0.0663214546262843,0.660932651049324,0.134380150257361,0.563148178404473,1
111,111,0.243010891245735,0.151239686015151,0.208105921970939,0.29253253468837603,0.443814648786488,1
112,112,0.248079405519224,0.0680046139978941,0.667585047940607,0.184019901585496,0.5129478395918721,2
113,113,0.285383216725232,0.0990055199743264,0.706713761226709,0.20579166084363104,0.521736006215793,1
114,114,0.5110009519542921,0.0882945190585319,0.6308922019762729,0.15474129823263094,0.5790564998895601,1
115,115,0.0080495791168244,0.203886661368096,0.188551343368637,0.159229749577501,0.316234246501894,1
116,116,0.41815644742841707,0.0946263350760182,0.683479283395907,0.138068398787923,0.534177408750826,2
117,117,0.007176166579409371,0.49753222733118,0.4546677448056711,0.302445562710671,0.63746282841326,1
118,118,0.3775667027611189,0.0730393472348368,0.661574322560365,0.18381354849567,0.5041746097693289,2
119,119,0.403680059392364,0.139070693852236,0.5581835245194781,0.16087497722127406,0.543134453054193,1
120,120,0.991299014253368,0.132087034010288,0.5927222664336701,0.3862513148344821,0.6372184440464821,1
121,121,0.507382771440846,0.16942451901678,0.628969253562565,0.182727790509072,0.6628712251047789,1
122,122,0.0100908695112216,0.679101603365125,0.381516665971426,0.699888784236093,0.052482642144471,1
123,123,0.23484127827148396,0.145018179280537,0.588389836214146,0.117355088326508,0.5776392484252579,1
124,124,0.400488780341556,0.0655715670522122,0.579818771196386,0.14094244963241,0.5757607899459211,2
125,125,0.304537777094175,0.1645761038513,0.651955440221922,0.221012735097648,0.562920434030323,1
126,126,0.49077543435039794,0.0654291893078247,0.59564449222978,0.202797220859879,0.6570553827312321,1
127,127,0.00786330671661023,0.318976636079532,0.17101779038451806,0.32464371670445097,0.27337530472544896,1
128,128,0.22997714530491897,0.148791282243125,0.606710617358702,0.134082388287099,0.5259058074987779,2
129,129,0.205788374935065,0.210682069839202,0.468717833781415,0.20311419439918105,0.6109736201678531,2
130,130,0.0101324649037753,0.68808381704815,0.110038275296083,0.557273769294446,0.271428800979715,2
131,131,0.51203480303091,0.112772553350638,0.721020867039187,0.13843533958735,0.580274783130413,2
132,132,0.329341915075238,0.149145846095914,0.648224526752839,0.162414649529588,0.506950805218768,1
133,133,0.34785666397744897,0.0928077958789484,0.68009249918418,0.0931069923780542,0.610391811242688,2
134,134,0.3645423094002271,0.105706785977477,0.651121210020359,0.1931606097781,0.5570909699101639,2
135,135,0.20402783935004604,0.101013067036721,0.654337406948499,0.137536839700527,0.567615012017818,2
136,136,0.541920728248877,0.0655232427612583,0.6284003550286489,0.125661449810936,0.7364452856882792,2
137,137,0.198321981280089,0.0701174839007882,0.7098427720198419,0.152231740627237,0.534868100088548,1
138,138,0.186238390055894,0.104905339694516,0.631360750697693,0.154547068808941,0.503458125337831,1
139,139,0.305883352872918,0.0991505527473289,0.634886739555939,0.140101613763914,0.5828636214181729,2
140,140,0.28713197181822403,0.0574442716934255,0.59124064828558,0.157238275575008,0.5528089935579611,1
141,141,0.00748785893941698,0.39406198658608493,0.23079117635087806,0.4337599429783179,0.140656138167092,1
142,142,0.24569923100792698,0.055651436159597,0.600468348174171,0.127118670645954,0.463259052169598,2
143,143,0.440874345030344,0.0833246485020094,0.636367432157944,0.17789138309915195,0.561665530517922,1
144,144,0.518447386051351,0.0576321877805672,0.629402876678164,0.101884469500211,0.6450057950385649,1
145,145,0.00663051878476575,0.608768752364212,0.169354452297175,0.447019690581184,0.3010198244572561,1
146,146,0.457096871796518,0.0912974491389932,0.67899124397,0.18136106492945606,0.574488473472885,1
147,147,0.290739688728839,0.0855055486834484,0.663422059328841,0.112018808954095,0.603700280483747,2
148,148,0.27615249992375,0.0385123090774216,0.575309726972163,0.11762731065502803,0.5397803340800961,1
149,149,0.539635855928097,0.0475650336789797,0.7865616597614731,0.10955808414927302,0.7512379075467249,1
150,150,0.0124400166589598,0.7218139497126709,0.16125212544052,0.258762137340758,0.35452662664045,1
151,151,0.5510234157757671,0.0603674668015226,0.62742643472951,0.148708198572677,0.662036288705834,1
152,152,0.559676169174823,0.13985492698434698,0.6235851726323121,0.245385246540771,0.6469025491973439,1
153,153,0.544922639609887,0.0829368235769719,0.6565500850315551,0.104697302254003,0.715563446079542,2
154,154,0.00835836502812658,0.574443180829744,0.196643160156371,0.108555287950693,0.117650590149105,1
155,155,0.00829109361820382,0.332632474538877,0.394912683842253,0.198327008149656,0.33292740262527803,1
