,index,IFFO1,CD9,PI3,CP,DENND2D_1
37,37,0.00748785893941698,0.7937219356430211,0.23079117635087806,0.912285162401692,0.216263254171618
38,38,0.0124400166589598,0.599226900287445,0.16125212544052,0.381647617736871,0.24285187916399
39,39,0.097704608653678,0.648167557149662,0.20166248822786,0.6514610749541221,0.332978432999985
40,40,0.012848749228788,0.6325719137797959,0.157966154929427,0.400672327698951,0.103614547747206
41,41,0.00997928318048624,0.759788335107231,0.221272563458574,0.475479163399251,0.188293146254097
42,42,0.0162016896492022,0.676143426688208,0.200199148248788,0.846925205100874,0.286830783734552
43,43,0.00760297320311513,0.6878082442987921,0.168309648972229,0.548558458545259,0.182132927178546
44,44,0.0142560123915752,0.7620459863400278,0.125975558962104,0.678701386211622,0.11074190549720403
45,45,0.00821495708694868,0.596426243911687,0.229035514280358,0.4700430838842991,0.17758521509625502
46,46,0.00872916033857212,0.744946165208198,0.229469676183957,0.7042391261328199,0.183343660889265
47,47,0.0157948635146316,0.741155232557404,0.14874592676442902,0.314772433787932,0.11672057319617303
48,48,0.00828454519919207,0.5080405150670949,0.214368961904154,0.456824973802269,0.099458471574405
49,49,0.0103174247008384,0.699780214690706,0.248974092625117,0.7314527205623991,0.39039018129291897
50,50,0.00695399939428543,0.7261017773984559,0.328593600045656,0.484937041993786,0.368058047297167
51,51,0.008119104370443341,0.687465051402761,0.334908198094165,0.336737119527474,0.125033454664217
52,52,0.0101324649037753,0.474297318107076,0.110038275296083,0.657994092785755,0.0955901851637301
53,53,0.0268219907128319,0.712999732750475,0.19763076646321606,0.501957257929181,0.3490783145774181
54,54,0.00752268908918425,0.74995884954659,0.7522711283457729,0.908421628053578,0.23110751102970606
55,55,0.243010891245735,0.640972005085928,0.208105921970939,0.8688735645312309,0.4389622134794369
56,56,0.00836175728960158,0.52774635054772,0.119744688837265,0.872964713800003,0.26019059100453
57,57,0.236906284874156,0.0509825472324829,0.41082509930101,0.825341874081147,0.158791097355379
58,58,0.0119768863352318,0.544570811152989,0.3595843629831961,0.584199418749693,0.0540692191639579
59,59,0.00842370983453804,0.688708368071936,0.27766970609766,0.371972597979276,0.238111857893331
60,60,0.00899951891594753,0.879984965421923,0.0683342685026275,0.240146083430571,0.247926180316989
61,61,0.0124758061667942,0.691481510966284,0.298547725933658,0.295730788643997,0.159880740856869
62,62,0.17004932276319001,0.0408958857697201,0.715491085297255,0.9086212733570252,0.866205728003441
63,63,0.0124472952623649,0.835915672726625,0.121746355040638,0.164415561585502,0.10047430853858698
64,64,0.0129762920248635,0.0321666669911928,0.845880343782613,0.821118569127797,0.0370345852198076
65,65,0.009858763978684,0.7537789500049241,0.106630281461553,0.31819167601944703,0.144530291884056
66,66,0.0087953266967282,0.6524683135492989,0.200761092904743,0.303974292650554,0.184208360173888
